Date,Region,Product,Category,Sales,Profit,Quantity
1/1/2025,North,Apples,Fruit,1200,300,45
2/1/2025,South,Oranges,Fruit,900,200,38
3/1/2025,East,Bananas,Fruit,700,120,42
4/1/2025,West,Grapes,Fruit,1500,450,30
5/1/2025,North,Carrots,Vegetable,600,100,50
6/1/2025,South,Tomatoes,Vegetable,750,150,48
7/1/2025,East,Potatoes,Vegetable,500,80,60
8/1/2025,West,Onions,Vegetable,550,90,55
9/1/2025,North,Coffee,Beverage,1400,500,25
10/1/2025,South,Tea,Beverage,900,300,28
11/1/2025,East,Juice,Beverage,800,220,32
12/1/2025,West,Soda,Beverage,700,150,40
1/13/2025,North,Apples,Fruit,1300,350,47
1/14/2025,South,Oranges,Fruit,950,210,36
1/15/2025,East,Bananas,Fruit,720,130,45
1/16/2025,West,Grapes,Fruit,1400,420,29
1/17/2025,North,Carrots,Vegetable,620,110,52
1/18/2025,South,Tomatoes,Vegetable,760,160,49
1/19/2025,East,Potatoes,Vegetable,520,90,61
1/20/2025,West,Onions,Vegetable,580,95,57
1/21/2025,North,Coffee,Beverage,1500,520,26
1/22/2025,South,Tea,Beverage,880,290,29
1/23/2025,East,Juice,Beverage,820,230,34
1/24/2025,West,Soda,Beverage,680,145,38
1/25/2025,North,Apples,Fruit,1250,330,44
1/26/2025,South,Oranges,Fruit,910,215,39
1/27/2025,East,Bananas,Fruit,750,140,43
1/28/2025,West,Grapes,Fruit,1420,430,31
1/29/2025,North,Carrots,Vegetable,610,105,48
1/30/2025,South,Tomatoes,Vegetable,780,165,51
1/31/2025,East,Potatoes,Vegetable,530,92,63
1/2/2025,West,Onions,Vegetable,600,100,59
2/2/2025,North,Coffee,Beverage,1450,510,27
3/2/2025,South,Tea,Beverage,920,305,30
4/2/2025,East,Juice,Beverage,840,240,36
5/2/2025,West,Soda,Beverage,720,160,42
6/2/2025,North,Apples,Fruit,1280,345,46
7/2/2025,South,Oranges,Fruit,940,220,37
8/2/2025,East,Bananas,Fruit,760,150,44
9/2/2025,West,Grapes,Fruit,1380,415,29
10/2/2025,North,Carrots,Vegetable,630,115,53
11/2/2025,South,Tomatoes,Vegetable,770,170,47
12/2/2025,East,Potatoes,Vegetable,545,95,64
2/13/2025,West,Onions,Vegetable,615,110,58
2/14/2025,North,Coffee,Beverage,1520,530,28
2/15/2025,South,Tea,Beverage,910,295,31
2/16/2025,East,Juice,Beverage,860,255,35
2/17/2025,West,Soda,Beverage,745,165,41
2/18/2025,North,Apples,Fruit,1240,320,43
2/19/2025,South,Oranges,Fruit,920,205,38
2/20/2025,East,Bananas,Fruit,770,155,46
2/21/2025,West,Grapes,Fruit,1400,425,32
2/22/2025,North,Carrots,Vegetable,640,120,54
2/23/2025,South,Tomatoes,Vegetable,800,180,52
2/24/2025,East,Potatoes,Vegetable,560,98,65
2/25/2025,West,Onions,Vegetable,620,115,60
2/26/2025,North,Coffee,Beverage,1480,515,29
2/27/2025,South,Tea,Beverage,930,310,30
2/28/2025,East,Juice,Beverage,880,260,37
1/3/2025,West,Soda,Beverage,760,170,43
2/3/2025,North,Apples,Fruit,1320,355,48
3/3/2025,South,Oranges,Fruit,960,230,40
4/3/2025,East,Bananas,Fruit,780,160,45
5/3/2025,West,Grapes,Fruit,1450,440,33
6/3/2025,North,Carrots,Vegetable,670,125,56
7/3/2025,South,Tomatoes,Vegetable,820,185,50
8/3/2025,East,Potatoes,Vegetable,575,105,67
9/3/2025,West,Onions,Vegetable,645,120,62
10/3/2025,North,Coffee,Beverage,1550,540,30
11/3/2025,South,Tea,Beverage,950,320,32
12/3/2025,East,Juice,Beverage,900,275,38
3/13/2025,West,Soda,Beverage,780,175,44
3/14/2025,North,Apples,Fruit,1350,365,49
3/15/2025,South,Oranges,Fruit,970,240,41
3/16/2025,East,Bananas,Fruit,800,170,47
3/17/2025,West,Grapes,Fruit,1480,460,34
3/18/2025,North,Carrots,Vegetable,700,135,58
3/19/2025,South,Tomatoes,Vegetable,850,195,53
3/20/2025,East,Potatoes,Vegetable,590,110,69
3/21/2025,West,Onions,Vegetable,660,125,63
3/22/2025,North,Coffee,Beverage,1580,550,31
3/23/2025,South,Tea,Beverage,980,340,33
3/24/2025,East,Juice,Beverage,920,280,39
3/25/2025,West,Soda,Beverage,800,185,45
3/26/2025,North,Apples,Fruit,1380,380,50
3/27/2025,South,Oranges,Fruit,990,250,42
3/28/2025,East,Bananas,Fruit,820,180,48
3/29/2025,West,Grapes,Fruit,1500,470,36
3/30/2025,North,Carrots,Vegetable,720,140,60
3/31/2025,South,Tomatoes,Vegetable,870,200,55
1/4/2025,East,Potatoes,Vegetable,610,115,70
2/4/2025,West,Onions,Vegetable,675,130,64
3/4/2025,North,Coffee,Beverage,1600,555,32
4/4/2025,South,Tea,Beverage,1000,350,34
5/4/2025,East,Juice,Beverage,940,290,40
6/4/2025,West,Soda,Beverage,820,195,46
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
